Timestamp,Start,Start RPC client,Try to connect to master,Subscribe to,Get step,Stop
23:36:33 +226,1.0,,,,,
23:36:36 +240,,1.0,,,,
23:36:36 +443,,,1.2,,,
23:36:37 +444,,,,Step,,
23:36:37 +445,,,,Measurement 1000,,
23:36:49 +460,,,,,2,
23:36:57 +469,,,,,2,
23:37:04 +477,,,,,3,
23:37:10 +483,,,,,0,
23:37:18 +490,,,,,0,
23:37:25 +498,,,,,1,
23:37:29 +655,,,,,,1.0
