Timestamp,Start,Subscribe to,Get step,Stop
00:13:22 +215,1.0,,,
00:13:22 +220,,Nodes list,,
00:13:22 +221,,Measurement 999,,
00:13:32 +232,,,3,
00:13:41 +240,,,3,
00:13:46 +246,,,0,
00:13:51 +247,,,1,
00:14:00 +256,,,1,
00:14:05 +259,,,2,
00:14:11 +40,,,,1.0
